done,Bug Report ID,Coder,Reviewer,URL,TraceReplayer Sequence Step,OB ID,OB XML ID,OB,Sequence Step,Screenshot Path,(No Aug) Screenshot Path,Command SS,Command SS (NA),Bug type (from taxonomy),Bug type checking (ok/not),Bug type (final),OB category (Easy/Hard),OB category checking (ok/not),OB category (final),OB rating (1-5),OB Rating check,OB Rating (Final),Screen (Old),Screens (Causing),Components (causing) (old),Components (Causing),Screens (Manifesting),Components (Manisfesting),Ground-truth check,Comments,Comment (Antu),Screens (Causing) Final,Components (Causing) Final,Screens (Manifesting) Final,Components (Manifesting) Final,Discourse patterns,Comment (discourse pattern),Discussion
x,1096,,Ying,https://github.com/inaturalist/iNaturalistAndroid/issues/722,14,5,5.1,have to force close iNat app,14,../burt/data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist14_augmented.png,../burt/data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist14.png,open ../burt/data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist14_augmented.png,open ../burt/data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist14.png,App crashes,,App crashes,Easy,,Hard,4,ok,4,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,,,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,ok,,,7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d,0,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,S_OB_COND_NEG,,
,,,,,,,,,,,,,,,,,,,,,,,a06c170aca6abe9da46c82c1ce817bac6838df0d1f705286378232e2da17aa94,,0,0,,,,,,,,,,,,
x,1202,,Ying,https://github.com/Swati4star/Images-to-PDF/issues/384,11,0,0,[Filter Images] Toast to save current is displayed even when image is saved,11,../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11_augmented.png,../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11.png,open ../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11_augmented.png,open ../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11.png,Undesirable component,,Undesirable component,Hard,,Hard,3,ok,3,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,6,6,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,ok,,The previous coding is okay.,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,6,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,S_OB_POS_COND,,
,,,,,,,,,,,,,,,,,,,,,,,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,,,,,,,,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,4,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,,,,
,,,,,,,,,,,,,,,,,,,,,,,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,,4,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,,,,,,,,,,,,,,,
x,1202,,Ying,https://github.com/Swati4star/Images-to-PDF/issues/384,11,1,1.9,The toast is displayed Save current first,11,../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11_augmented.png,../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11.png,open ../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11_augmented.png,open ../burt/data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11.png,Undesirable component,,Undesirable component,Hard,,Hard,3,ok,3,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,6,6,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,ok,,,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,6,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,S_OB_PASSIVE_VOICE,,
,,,,,,,,,,,,,,,,,,,,,,,8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d,,,,,,,,,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,4,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,,,,
,,,,,,,,,,,,,,,,,,,,,,,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,,4,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095,,,,,,,,,,,,,,,
x,1207,,Ying,https://github.com/andOTP/andOTP/issues/135,13,0,0,App crashes due to invalid values being processed,13,../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13_augmented.png,../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png,open ../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13_augmented.png,open ../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png,App crashes,,App crashes,Hard,,Hard,3,ok,3,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,,,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,ok,,The previous coding is okay.,7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620,"10,11,12,13",0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,"S_OB_NEG_VERB
S_OB_DUE_NEG",,
,,,,,,,,,,,,,,,,,,,,,,,7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620,,"10,11,12,13","10,11,12,13",,,,,,,,,,,,
x,1207,,Ying,https://github.com/andOTP/andOTP/issues/135,13,1,1.2,"When entering an invalid value (empty or ""0"") in the ""Advanced Options"" section when manually entering details, the app crashes.",13,../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13_augmented.png,../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png,open ../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13_augmented.png,open ../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png,App crashes,,App crashes,Easy,,Easy,5,ok,5,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,,,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,ok,,,7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620,"10,11,12,13",0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,"S_OB_COND_NEG
S_OB_NEG_VERB",,
,,,,,,,,,,,,,,,,,,,,,,,7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620,,"10,11,12,13","10,11,12,13",,,,,,,,,,,,
x,1207,,Ying,https://github.com/andOTP/andOTP/issues/135,13,2,5.2,App crashes.,13,../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13_augmented.png,../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png,open ../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13_augmented.png,open ../burt/data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png,App crashes,,App crashes,Hard,,Hard,2,ok,2,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,,,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,ok,,,7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620,"10,11,12,13",0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,S_OB_NEG_VERB,,
,,,,,,,,,,,,,,,,,,,,,,,7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620,,"10,11,12,13","10,11,12,13",,,,,,,,,,,,
x,1214,,Ying,https://github.com/andOTP/andOTP/issues/580,13,0,0,"Confirmation field doesn't react to ""show password"" option when setting password/PIN the first time",13,../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13_augmented.png,../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13.png,open ../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13_augmented.png,open ../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13.png,Unclickable component,,Unclickable component,Easy,,Easy,5,ok,5,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,4,4,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,2,ok,,The manifesting component should be 5.,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,4,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,5,"S_OB_NEG_AUX_VERB
S_OB_NEG_COND
",,
x,1214,,Ying,https://github.com/andOTP/andOTP/issues/580,13,1,6.2,The confirm password field doesn't show password/PIN.,13,../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13_augmented.png,../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13.png,open ../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13_augmented.png,open ../burt/data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13.png,Text in Component disappears,,Text in Component disappears,Easy,,Easy,4,ok,4,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,4,4,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,3,ok,,,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,4,501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f,5,S_OB_NEG_AUX_VERB,,
x,1215,,Ying,https://github.com/andOTP/andOTP/issues/569,31,0,0,Crash when entering too large of a number in manual entry dialog,31,../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31_augmented.png,../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31.png,open ../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31_augmented.png,open ../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31.png,App crashes,,App crashes,Easy,,Easy,4,ok,4,5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7,37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab,10,10,c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de,,ok,crash page not found,The previous coding is okay,5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7,10,c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de,,S_OB_NEG_COND,,
,,,,,,,,,,,,,,,,,,,,,,,37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab,,10,10,,,,,,37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab,10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de,,,,,,,,,,,,,,,
x,1215,,Ying,https://github.com/andOTP/andOTP/issues/569,31,1,5.2,The application crashes.,31,../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31_augmented.png,../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31.png,open ../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31_augmented.png,open ../burt/data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp31.png,App crashes,,App crashes,Hard,,Hard,2,ok,2,5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7,,10,10,c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de,,ok,crash page not found,,5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7,10,c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de,,S_OB_NEG_VERB,,
,,,,,,,,,,,,,,,,,,,,,,,37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab,,10,10,,,,,,37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab,10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de,,,,,,,,,,,,,,,
x,1224,,Ying,https://github.com/codinguser/gnucash-android/issues/620,39,0,0,"When an account is edited, its color is lost",39,../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39_augmented.png,../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39.png,open ../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39_augmented.png,open ../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39.png,Component is not displayed (correctly),,Component is not displayed (correctly),Hard,,Hard,4,ok,4,0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,,,,0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,"6,18,24,30",ok,,The previous coding is okay,57f83a8bd1c6941e252ff7d52c54c58176c1c9b80201759f3b5d1e25ff2650be,2,0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,"6,18,24,30",S_OB_COND,,
,,,,,,,,,,,,,,,,,,,,,,,8e14e795c1c4fd49424562a254e3e44e9726001d357da4db0b5c70df89147148,,,,,"6,18,24,30,36",,,,227e7eccfb7fca33d6803e62d8b05c583c8c5f94c011e52dfa0a9143930ff4dc,2,8e14e795c1c4fd49424562a254e3e44e9726001d357da4db0b5c70df89147148,"6,18,24,30,36",,,
,,,,,,,,,,,,,,,,,,,,,,,39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20,,,,,"6,18,24,30,36",,,,,,39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20,"6,18,24,30,36",,,
,,,,,,,,,,,,,,,,,,,,,,,57f83a8bd1c6941e252ff7d52c54c58176c1c9b80201759f3b5d1e25ff2650be,,2,2,,,,,,,,88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a,5,,,
,,,,,,,,,,,,,,,,,,,,,,,88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a,,,,,5,,,,,,ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec,"5,11",,,
,,,,,,,,,,,,,,,,,,,,,,,227e7eccfb7fca33d6803e62d8b05c583c8c5f94c011e52dfa0a9143930ff4dc,,2,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec,,,,,"5,11",,,,,,,,,,
x,1224,,Ying,https://github.com/codinguser/gnucash-android/issues/620,39,1,3.2,The color is unset.,39,../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39_augmented.png,../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39.png,open ../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39_augmented.png,open ../burt/data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash39.png,Showing data in wrong format,,Showing data in wrong format,Hard,,Hard,2,ok,2,0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,,,,0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,"6,18,24,30",ok,,,57f83a8bd1c6941e252ff7d52c54c58176c1c9b80201759f3b5d1e25ff2650be,2,0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07,"6,18,24,30",S_OB_PASSIVE_VOICE,,
,,,,,,,,,,,,,,,,,,,,,,,8e14e795c1c4fd49424562a254e3e44e9726001d357da4db0b5c70df89147148,,,,,"6,18,24,30,36",,,,227e7eccfb7fca33d6803e62d8b05c583c8c5f94c011e52dfa0a9143930ff4dc,2,8e14e795c1c4fd49424562a254e3e44e9726001d357da4db0b5c70df89147148,"6,18,24,30,36",,,
,,,,,,,,,,,,,,,,,,,,,,,39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20,,,,,"6,18,24,30,36",,,,,,39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20,"6,18,24,30,36",,,
,,,,,,,,,,,,,,,,,,,,,,,57f83a8bd1c6941e252ff7d52c54c58176c1c9b80201759f3b5d1e25ff2650be,,2,2,,,,,,,,88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a,5,,,
,,,,,,,,,,,,,,,,,,,,,,,88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a,,,,,5,,,,,,ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec,"5,11",,,
,,,,,,,,,,,,,,,,,,,,,,,227e7eccfb7fca33d6803e62d8b05c583c8c5f94c011e52dfa0a9143930ff4dc,,2,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec,,,,,"5,11",,,,,,,,,,
x,1226,,Ying,https://github.com/codinguser/gnucash-android/issues/663,45,0,0,App crashes after creating account with BYN currency,45,../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45_augmented.png,../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45.png,open ../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45_augmented.png,open ../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45.png,App crashes,,App crashes,Easy,,Easy,5,ok,5,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,8aa4e82a4161e65d9e3d60caa17782358c78c00d5014d6dde81cf5ab38178fb2,,,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,ok,,The previous coding is okay.,90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84,2,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,"S_OB_NEG_VERB
S_OB_NEG_AFTER",,
,,,,,,,,,,,,,,,,,,,,,,,90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84,,2,2,,,,,,374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3,,2,2,,,,,,,,,,,,
x,1226,,Ying,https://github.com/codinguser/gnucash-android/issues/663,45,1,3.2,3. App crashes,45,../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45_augmented.png,../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45.png,open ../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45_augmented.png,open ../burt/data/TraceReplayer-Data/TR1226/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash45.png,App crashes,,App crashes,Hard,,Hard,2,ok,2,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,ok,,,90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84,2,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,S_OB_NEG_VERB,,
,,,,,,,,,,,,,,,,,,,,,,,90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84,,2,2,,,,,,374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3,,2,2,,,,,,,,,,,,
