Bug-ID;OB-ID;OB-Text;Top-3-Screens;Sequence-IDs;Screenshot-Paths
Bug130;5;"However, here's a second issue: if I explicitly select ""Android KeyStore"" then the third slide still has a red text saying ""Please set a password to continue"".";{'5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b': 3.8671536, '5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf': 3.6709886, '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7': 2.8303437};[3, 4, 15];['../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp13.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp4.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp15.png']
Bug135;0;"When clicking on a category in night mode, the app does not show the ""Parent Categories"", there's a blank space instead.";{'44f40691f1c5ca10875058ad47d7f7f100b7b2f1d00bfbfa8ebc9420b7c6f250': 5.142505, '5f73d16c7a634772a51c9c854a69bc9dec5f65b77d44fab362d5462a759767e8': 5.030129, 'cfdf854477ee004b870ca3ccc0bb9c47589dcf1939d224f4830b6efeb45e6d6f': 4.8588753};[32, 15, 29];['../data/TraceReplayer-Data/TR135/fr.free.nrw.commons-2.9.0-debug/screenshots/fr.free.nrw.commons.User-Trace.1.fr.free.nrw.commons_2.9.0-debug_commons31.png', '../data/TraceReplayer-Data/TR135/fr.free.nrw.commons-2.9.0-debug/screenshots/fr.free.nrw.commons.User-Trace.1.fr.free.nrw.commons_2.9.0-debug_commons33.png', '../data/TraceReplayer-Data/TR135/fr.free.nrw.commons-2.9.0-debug/screenshots/fr.free.nrw.commons.User-Trace.1.fr.free.nrw.commons_2.9.0-debug_commons28.png']
Bug191;0;Negative Credits;{'27c26d963ef8bb53c61b18ff0a75ada8637156e1f414fe9ecf807c1a52c21cb6': 0.35954, '3757f3ed52a897d76d9399ed950018ca86ff4a1502d7d2e3e52d638dde8644ea': 0.14104411, '8430d221ab4d15f270457f7e12b3c8fff85018a5d25e41321c6525a561a8cb4d': -0.8889168};[10, 62, 65];['../data/TraceReplayer-Data/TR191/ch.logixisland.anuto-0.2-1/screenshots/ch.logixisland.anuto.User-Trace.1.ch.logixisland.anuto_0.2-1_anuto66.png', '../data/TraceReplayer-Data/TR191/ch.logixisland.anuto-0.2-1/screenshots/ch.logixisland.anuto.User-Trace.1.ch.logixisland.anuto_0.2-1_anuto60.png', '../data/TraceReplayer-Data/TR191/ch.logixisland.anuto-0.2-1/screenshots/ch.logixisland.anuto.User-Trace.1.ch.logixisland.anuto_0.2-1_anuto71.png']
Bug191;1;2. drag+drop any defence towers you like, credits < 0 are possible;{'27c26d963ef8bb53c61b18ff0a75ada8637156e1f414fe9ecf807c1a52c21cb6': 2.7939858, '3757f3ed52a897d76d9399ed950018ca86ff4a1502d7d2e3e52d638dde8644ea': 1.8185754, '8430d221ab4d15f270457f7e12b3c8fff85018a5d25e41321c6525a561a8cb4d': 1.7414327};[10, 62, 65];['../data/TraceReplayer-Data/TR191/ch.logixisland.anuto-0.2-1/screenshots/ch.logixisland.anuto.User-Trace.1.ch.logixisland.anuto_0.2-1_anuto66.png', '../data/TraceReplayer-Data/TR191/ch.logixisland.anuto-0.2-1/screenshots/ch.logixisland.anuto.User-Trace.1.ch.logixisland.anuto_0.2-1_anuto60.png', '../data/TraceReplayer-Data/TR191/ch.logixisland.anuto-0.2-1/screenshots/ch.logixisland.anuto.User-Trace.1.ch.logixisland.anuto_0.2-1_anuto71.png']
Bug206;0;Timestamp 0 when never exported.;{'4bebd7279257bebd1d5e73837e1bf79a9f3eb2890b02646bb0274158130d0e4f': -0.4643546, 'fd1c54607cafd54ec7c1d23e1e7749585fd1e04f3f56b4393b8b842fe402e298': -1.5954776, 'cd3aa1e72bb7ce6f8468d6eff9b740b6ce8d72aa4611495ae840e713ca687558': -1.6848416};[15, 36, 35];['../data/TraceReplayer-Data/TR206/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash14.png', '../data/TraceReplayer-Data/TR206/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash35.png', '../data/TraceReplayer-Data/TR206/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash55.png']
Bug206;1;Last exported: 1970-01-à1 01-00-00.0;{'4bebd7279257bebd1d5e73837e1bf79a9f3eb2890b02646bb0274158130d0e4f': -0.04159367, '1169897eb83bf15d5f044cd369d1205b59c9a592530365d937e45cf52e8d6d47': -2.2868989, '2f428ad823b957479fc0e1210b1c3d7beb4d2b0f4d960f3b6a1cf61e4c07f910': -2.8933122};[15, 24, 83];['../data/TraceReplayer-Data/TR206/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash14.png', '../data/TraceReplayer-Data/TR206/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash23.png', '../data/TraceReplayer-Data/TR206/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash82.png']
Bug209;0;Bug: Long pressing the amount input brings up QWERTY keyboard;{'dc92bbd841c8360f2cceb4877d7eaf17038da3717714cef01f5f706edf70a70f': 1.6175635, 'b9fda98d0207b8db496f5dbb63cb78d5b2145be7097098664d425444f992e6e0': 1.5972434, '933f827967a837cc4e74d70e30f2949005bae79faee7053858561d79ab288402': 1.5156375};[43, 59, 45];['../data/TraceReplayer-Data/TR209/org.gnucash.android-2.2.0/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.2.0_gnucash45.png', '../data/TraceReplayer-Data/TR209/org.gnucash.android-2.2.0/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.2.0_gnucash59.png', '../data/TraceReplayer-Data/TR209/org.gnucash.android-2.2.0/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.2.0_gnucash44.png']
Bug256;0;App crashes when trying modify account if default transaction account no longer exist.;{'5a9b8a9e50124d5fb5b888f933b48a44fd2301deab4e47043b2e49ee1c472b61': 3.368507, 'e4950f4a8a3b014346e1d05800d7ee6cac3a03ce05f338f2bf4af7e5705e525a': 3.0482185, '05724098c623443be4bbdcf7112abad2872f248cf33a6544219ba5b042f0e79a': 2.866612};[19, 7, 9];['../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash18.png', '../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash6.png', '../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash13.png']
Bug256;1;5. Modify account B, crash occurred.;{'e4950f4a8a3b014346e1d05800d7ee6cac3a03ce05f338f2bf4af7e5705e525a': 0.32736725, '6890a82dee32705590150ddf4f44cd1f43b29ede57941d4f195245b4433a1415': 0.13493453, '05724098c623443be4bbdcf7112abad2872f248cf33a6544219ba5b042f0e79a': 0.10716671};[7, 4, 9];['../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash6.png', '../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash4.png', '../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash13.png']
Bug256;2;App crashed.;{'1a1dfa8544f7e0c4c28fc4ab4a9a3c550d24934a046e0c9e5e620382142b2ef3': -0.4974658, 'd429e23efea66676471b33caf404911081e33b017ddad745656936d70cafebdf': -0.92972505, '0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16': -0.93244964};[23, 26, 20];['../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash22.png', '../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash37.png', '../data/TraceReplayer-Data/TR256/org.gnucash.android-2.1.4/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.4_gnucash19.png']
Bug1073;0;Your Rights license link broken;{'9b61945f155f28530cad145eecb61fea081a2682861a22045f3735b2ff79b224': 2.1287262, '670c65a89210c8e9822e6891d4702792b1418f0117648988b627bf36834648e5': 1.5656692, 'fed8c8c846b035e8656de904ef6e88401b2b87db42366a17665c58d8ca361376': -1.2331964};[8, 7, 36];['../data/TraceReplayer-Data/TR1073/org.mozilla.focus-5.2/screenshots/org.mozilla.focus.User-Trace.1.org.mozilla.focus_5.2_focus14.png', '../data/TraceReplayer-Data/TR1073/org.mozilla.focus-5.2/screenshots/org.mozilla.focus.User-Trace.1.org.mozilla.focus_5.2_focus13.png', '../data/TraceReplayer-Data/TR1073/org.mozilla.focus-5.2/screenshots/org.mozilla.focus.User-Trace.1.org.mozilla.focus_5.2_focus35.png']
Bug1073;1;Nothing;{'9b7fa07c923887a5f3a660121936196c3cb378bad31dc2f05ea023c7a21c2692': -1.3565646, '670c65a89210c8e9822e6891d4702792b1418f0117648988b627bf36834648e5': -2.658886, 'c5c653a5039b13e86b9c4b56347cc61b3a7575ae831d9a68d43756522da01eca': -2.661737};[9, 7, 13];['../data/TraceReplayer-Data/TR1073/org.mozilla.focus-5.2/screenshots/org.mozilla.focus.User-Trace.1.org.mozilla.focus_5.2_focus15.png', '../data/TraceReplayer-Data/TR1073/org.mozilla.focus-5.2/screenshots/org.mozilla.focus.User-Trace.1.org.mozilla.focus_5.2_focus13.png', '../data/TraceReplayer-Data/TR1073/org.mozilla.focus-5.2/screenshots/org.mozilla.focus.User-Trace.1.org.mozilla.focus_5.2_focus12.png']
Bug1096;0;Going back while recording sound causes endless loading (or crash);{'eb6dcdcfd26e944ba2674815f3eeb499601bb3334980eb5c25fbeff8d780b77d': 2.1018023, '7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d': 2.0192738, '0de81c6ee546a153a5384b40f229b2d920375f82815897224de98af91a06ae94': 1.8544674};[11, 14, 10];['../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist10.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist13.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist12.png']
Bug1096;1;Record the sound, press done, and endless Loading screen.;{'7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d': 3.9513242, 'eb6dcdcfd26e944ba2674815f3eeb499601bb3334980eb5c25fbeff8d780b77d': 2.8711507, '0de81c6ee546a153a5384b40f229b2d920375f82815897224de98af91a06ae94': 2.7055078};[14, 11, 10];['../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist13.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist10.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist12.png']
Bug1096;2;When I try to replicate given the steps above (on a Pixel 3), I just get a crash immediately after tapping the back button in the left side of the header.;{'10b7eacfc8b8d2b8706a819962091318455f723c4e4e52bfbf1545417a0cb1c1': -0.354834, '0de81c6ee546a153a5384b40f229b2d920375f82815897224de98af91a06ae94': -1.057826, 'fd2c55acf11a457e1154f36ad629673c064a185d0ac713065a0dd159bb85f5dc': -1.1415082};[7, 10, 47];['../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist15.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist12.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist46.png']
Bug1096;3;get an endless Loading screen;{'559888e2d0f50bfab32d218caf8082e30b3c7ef19747beef273c434f44c12a47': -0.19937393, '10b7eacfc8b8d2b8706a819962091318455f723c4e4e52bfbf1545417a0cb1c1': -0.24843761, 'd60963a5de121f19c426bd31a99cc0c9f9903a8786cd9a65de0bf435983126d3': -0.6854644};[6, 7, 37];['../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist5.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist15.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist36.png']
Bug1096;4;unable to go back;{'10b7eacfc8b8d2b8706a819962091318455f723c4e4e52bfbf1545417a0cb1c1': -0.90386844, '680b4e508bc14320e11b407403ce080465bafc9be4b35dd025909214347eb53f': -1.4214234, '95698c1c18b8a82a0a4f939c9f9c522c5a770c60ec1caa0bbf268fd1ad265d32': -1.4245776};[7, 33, 25];['../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist15.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist33.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist24.png']
Bug1096;5;have to force close iNat app;{'0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16': 0.6007475, 'ad09e507f8243b3872aaa7400ab61efe0e0c702eb497abbe6fc0555f91341993': 0.32508117, '0de81c6ee546a153a5384b40f229b2d920375f82815897224de98af91a06ae94': 0.2643571};[15, 9, 10];['../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist14.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist54.png', '../data/TraceReplayer-Data/TR1096/org.inaturalist.android-1.13.9/screenshots/org.inaturalist.android.User-Trace.1.org.inaturalist.android_1.13.9_inaturalist12.png']
Bug1202;0;[Filter Images] Toast to save current is displayed even when image is saved;{'a7454212effeb09e7055f630115cc9f8bf9f89f4e48af37c14dd770b771b22f4': 3.8591862, '8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d': 2.5846212, 'cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095': 2.5629265};[19, 9, 8];['../data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf18.png', '../data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11.png', '../data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf17.png']
Bug1202;1;The toast is displayed Save current first;{'a7454212effeb09e7055f630115cc9f8bf9f89f4e48af37c14dd770b771b22f4': 0.73499674, 'cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095': 0.716257, '8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d': 0.6365162};[19, 8, 9];['../data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf18.png', '../data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf17.png', '../data/TraceReplayer-Data/TR1202/swati4star.createpdf-6.6.0/screenshots/swati4star.createpdf.User-Trace.1.swati4star.createpdf_6.6.0_createpdf11.png']
Bug1207;0;App crashes due to invalid values being processed;{'0fd67831f7147f66f28a7e2ae3887d1918409a1399518c681c0cae3b8a021e75': 0.050662547, '0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16': -0.14776534, '6f48584030afe1f0d8d3909acec62b16693f63172f1ca04f6436d0bfced74101': -0.30570054};[25, 14, 4];['../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp24.png', '../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png', '../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp7.png']
Bug1207;1;"When entering an invalid value (empty or ""0"") in the ""Advanced Options"" section when manually entering details, the app crashes.";{'6f48584030afe1f0d8d3909acec62b16693f63172f1ca04f6436d0bfced74101': 2.8348463, '5dcf98b34c0c614b9969f42ea13e657779d0d9dc863b1668798dbab1b9ae11de': 2.8085804, '7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620': 2.5290003};[4, 5, 9];['../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp7.png', '../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp5.png', '../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp12.png']
Bug1207;2;App crashes.;{'0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16': -0.76619893, '59404d9d22d169d1639e302c81c778fc1562a47c81c0270b1076e867649c709a': -0.9532536, '5e2ccf4d940fa82b6ab0f3ce12592a254bb77552c75306e3baa52fdf8e1bbcd3': -0.96274006};[14, 3, 56];['../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp13.png', '../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp61.png', '../data/TraceReplayer-Data/TR1207/org.shadowice.flocke.andotp-0.4.0.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.4.0.1_andotp56.png']
Bug1214;0;"Confirmation field doesn't react to ""show password"" option when setting password/PIN the first time";{'0fe342dfd55bca0a3b197c631fbb9f87aef7cb00dab5fc1a6b42c74d337db640': 2.1427705, '501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f': 2.0326014, 'f0e3fcf04484a44c2dbf19556abddfa5cdcb64a96e32789f7e3af85358802fbc': 0.72672874};[2, 4, 16];['../data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp1.png', '../data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13.png', '../data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp20.png']
Bug1214;1;The confirm password field doesn't show password/PIN.;{'501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f': 2.067054, '0fe342dfd55bca0a3b197c631fbb9f87aef7cb00dab5fc1a6b42c74d337db640': 1.985906, 'f0e3fcf04484a44c2dbf19556abddfa5cdcb64a96e32789f7e3af85358802fbc': 1.1063522};[4, 2, 16];['../data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp13.png', '../data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp1.png', '../data/TraceReplayer-Data/TR1214/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp20.png']
Bug1215;0;Crash when entering too large of a number in manual entry dialog;{'ab43dd02821d3cb36f17c5d66059f1fdbc5dfc296a134cacd13e4c6cc5a0b9e9': -0.5475983, 'f0e3fcf04484a44c2dbf19556abddfa5cdcb64a96e32789f7e3af85358802fbc': -0.57645625, '5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7': -0.63452154};[22, 17, 26];['../data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp21.png', '../data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp37.png', '../data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp26.png']
Bug1215;1;The application crashes.;{'41e3ee504783547f33243db735220079ed3971bd79ade61a3666d2b3de480764': -1.161131, 'a4428275fb6285861bf971283a6dec49325b70ac2a12270467f6b7276d150554': -1.481858, 'ab43dd02821d3cb36f17c5d66059f1fdbc5dfc296a134cacd13e4c6cc5a0b9e9': -1.5279309};[44, 21, 22];['../data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp43.png', '../data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp42.png', '../data/TraceReplayer-Data/TR1215/org.shadowice.flocke.andotp-0.7.1.1/screenshots/org.shadowice.flocke.andotp.User-Trace.1.org.shadowice.flocke.andotp_0.7.1.1_andotp21.png']
Bug1224;0;When an account is edited, its color is lost;{'89051e2b3bca8d5da26b9b7ed4284f4253470b3613f8a064c4dee7aa3d74b446': 3.897279, '0ef38b464997ba511839d2a16363bf2cc8707c660c3b1447b0f1e6f6c6764f14': 3.8291483, '43b5a73a1a3520446a8e2a32027a0105208d4d1a43ff02fa8cf7813df6b73f27': 2.1576912};[80, 14, 64];['../data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash79.png', '../data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash46.png', '../data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash66.png']
Bug1224;1;The color is unset.;{'aece6bd66b474d9ef7d303db584818016376bd3b3c1271bfac64b0fb4fada656': 0.74657214, '43b5a73a1a3520446a8e2a32027a0105208d4d1a43ff02fa8cf7813df6b73f27': 0.59940326, 'a31c8f13317a4378ada0b0d58913784ce9a8b17a3d917629f85b59dc09fda29e': -0.24079359};[68, 64, 62];['../data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash67.png', '../data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash66.png', '../data/TraceReplayer-Data/TR1224/org.gnucash.android-2.1.3/screenshots/org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash61.png']
Bug1299;0;[BUG] Crashes in Collect after importing field_sample.csv;{'2e24fc20385d44bccc827cfc1187b8b6a70d8baf69318294a0f772a1fb4f7f17': 4.1780705, '5d2c40f09fca8fcc98f3bc453fdf60ca1a498c2f702519cbecab887297ebaa69': 2.203626, '18e0a03ff2826075207970099afe784532f2acd959bd989928fbb4e43a698187': 1.3308885};[10, 51, 14];['../data/TraceReplayer-Data/TR1299/com.fieldbook.tracker-4.3.3/screenshots/com.fieldbook.tracker.User-Trace.1.com.fieldbook.tracker_4.3.3_fieldbook9.png', '../data/TraceReplayer-Data/TR1299/com.fieldbook.tracker-4.3.3/screenshots/com.fieldbook.tracker.User-Trace.1.com.fieldbook.tracker_4.3.3_fieldbook50.png', '../data/TraceReplayer-Data/TR1299/com.fieldbook.tracker-4.3.3/screenshots/com.fieldbook.tracker.User-Trace.1.com.fieldbook.tracker_4.3.3_fieldbook13.png']
